TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Heart_Rate,Elements
2026-07-29 18:09:33.986,0.4143,0.4003,0.6207,0.4831,0.2869,0.3231,0.2633,0.267,0.1105,0.1192,0.0758,0.1161,0.1341,0.1355,0.0334,0.112,0.0543,0.0218,0.0067,0.0217,3386.63,3391.8681,3375.348,3419.6703,-0.0566,-0.2439,0.9777,-1.5701,0.3664,1.3683,1,1,1,1,2,42.4,,
2026-07-29 18:09:34.991,0.4303,0.396,0.615,0.49,0.2924,0.3264,0.2723,0.2693,0.1019,0.1194,0.0732,0.1121,0.1246,0.1362,0.0329,0.1079,0.0509,0.022,0.0066,0.0208,3411.2088,3345.1282,3416.8498,3374.9451,-0.0405,-0.298,0.9818,-6.3777,1.114,4.83,1,1,1,1,2,42.4,,
2026-07-29 18:09:36.043,0.4395,0.3746,0.6199,0.4958,0.2876,0.3408,0.2677,0.269,0.1017,0.1208,0.0732,0.1115,0.1236,0.1407,0.0333,0.105,0.0476,0.0231,0.0058,0.0187,3353.1868,3404.7619,3453.5165,3237.5458,0.0388,-0.2529,1.0018,-29.0474,-18.1836,12.1648,1,1,1,1,4,42.4,,
2026-07-29 18:09:37.043,0.4476,0.3828,0.6287,0.5254,0.2893,0.3494,0.261,0.2501,0.099,0.1101,0.0734,0.1104,0.1203,0.1357,0.032,0.0994,0.0438,0.0219,0.0049,0.0148,3169.8535,3333.0403,3546.1905,3571.978,-0.2803,-0.2562,0.7722,9.1367,0.6056,2.0486,1,1,2,1,4,42.4,,
2026-07-29 18:09:38.045,0.4501,0.5765,0.6264,0.5931,0.304,0.2887,0.2339,0.2238,0.0915,0.0508,0.1023,0.0969,0.116,0.0735,0.0315,0.0754,0.0384,0.0105,0.0059,0.0109,3366.4835,3477.6923,3475.2747,3923.7363,-0.8996,0.1315,0.4668,-11.3573,44.8683,18.3331,1,2,2,2,4,42.4,45.0,
2026-07-29 18:09:39.085,0.4646,0.5637,0.5742,0.6201,0.3206,0.3067,0.2605,0.2187,0.0789,0.0454,0.1107,0.0901,0.1032,0.0735,0.0458,0.0606,0.0328,0.0107,0.0089,0.0104,3756.9231,3360.0366,3262.5275,3435.3846,-0.9966,0.0433,0.186,13.6601,20.0902,-35.6718,1,2,1,1,4,42.4,45.0,
2026-07-29 18:09:40.126,0.4426,0.5777,0.4986,0.6107,0.3439,0.2966,0.3219,0.2225,0.0679,0.0488,0.1121,0.0923,0.1107,0.0671,0.0551,0.0637,0.0349,0.0098,0.0123,0.0108,2185.8974,3255.2747,3357.619,3763.7729,-1.002,-0.1132,-0.1022,-0.5682,2.6393,-3.7833,1,4,1,1,4,42.4,45.0,
2026-07-29 18:09:41.153,0.4017,0.5804,0.5239,0.6129,0.3606,0.2917,0.3114,0.2219,0.1228,0.0513,0.1006,0.0925,0.095,0.067,0.053,0.0621,0.0199,0.0095,0.0112,0.0106,3511.9414,3508.7179,3374.5421,3202.4908,-0.8566,-0.1946,0.4924,20.9351,-20.9874,9.3909,1,4,1,1,4,42.4,45.0,
2026-07-29 18:09:42.184,0.3444,0.5512,0.5304,0.5985,0.3895,0.3203,0.2957,0.237,0.1556,0.0561,0.1063,0.0931,0.0907,0.0622,0.0558,0.061,0.0198,0.0102,0.0119,0.0103,2863.6264,3330.6227,3454.7253,2928.9011,-0.9209,-0.1928,0.2328,3.0431,55.119,9.9068,1,4,1,1,4,42.4,45.0,
2026-07-29 18:09:43.232,0.3665,0.553,0.5329,0.5927,0.3709,0.3167,0.2866,0.2414,0.1505,0.0576,0.11,0.0947,0.0915,0.062,0.058,0.0606,0.0205,0.0108,0.0126,0.0105,3313.6996,3493.8095,3487.7656,3609.0476,-0.9243,-0.1349,-0.3299,-2.3253,1.772,-3.3197,1,2,1,1,4,42.4,45.0,
2026-07-29 18:09:44.288,0.4257,0.5605,0.531,0.5819,0.3337,0.3132,0.2872,0.2603,0.1372,0.0594,0.1107,0.091,0.0842,0.0571,0.0582,0.057,0.0193,0.0098,0.013,0.0098,3013.9194,3603.0037,3380.1832,3349.5604,-0.9001,-0.166,-0.3474,-1.7795,-0.972,2.3402,1,4,4,1,4,42.4,45.0,
2026-07-29 18:09:45.332,0.4235,0.5993,0.5201,0.5742,0.326,0.2804,0.3034,0.2704,0.1419,0.0803,0.1005,0.0905,0.0886,0.0346,0.0622,0.055,0.0201,0.0054,0.0138,0.0099,3570.7692,3243.5897,3249.6337,3535.3114,-0.9367,-0.0671,-0.3008,0.8524,-2.7664,3.2225,1,2,4,1,1,42.4,45.0,
