TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Heart_Rate,Elements
2026-07-22 18:13:11.361,0.3508,0.5636,0.3786,0.3803,0.3732,0.2826,0.3656,0.3337,0.1327,0.0746,0.1423,0.1027,0.1082,0.0678,0.0985,0.1391,0.0351,0.0113,0.015,0.0442,3298.7912,3169.4505,3339.0842,3283.4799,0.082,-0.1519,0.9941,-1.3982,0.1047,0.7776,1,1,4,1,1,27.0,58.3,
2026-07-22 18:13:12.411,0.3504,0.5741,0.3825,0.3855,0.3799,0.2701,0.3551,0.3414,0.1258,0.0709,0.1457,0.1013,0.1059,0.0725,0.1012,0.1308,0.0381,0.0124,0.0156,0.0411,3272.6007,3321.7582,3329.011,3258.0952,0.0473,-0.2339,0.9835,-6.8712,1.8169,6.273,1,1,1,1,1,27.0,58.2,
2026-07-22 18:13:13.442,0.3483,0.5757,0.3837,0.383,0.3815,0.2598,0.3512,0.3441,0.1268,0.0639,0.1486,0.1012,0.1036,0.0864,0.1011,0.1291,0.0398,0.0143,0.0154,0.0425,3336.2637,4213.0403,3333.8462,3370.1099,0.0006,-0.2641,0.955,-1.2486,-0.9122,2.7066,1,1,4,1,1,27.0,59.0,
2026-07-22 18:13:14.442,0.3643,0.5279,0.3862,0.3734,0.3782,0.2739,0.3447,0.361,0.1217,0.088,0.1515,0.0992,0.0983,0.0943,0.1021,0.1242,0.0375,0.0159,0.0155,0.0422,3331.8315,2939.7802,3332.2344,3340.293,0.0083,-0.2863,0.9617,-0.157,0.314,0.172,1,1,4,1,1,27.0,60.5,
2026-07-22 18:13:15.460,0.3626,0.5234,0.3924,0.3677,0.376,0.2757,0.3467,0.3733,0.1248,0.0903,0.1462,0.0951,0.0984,0.0948,0.0996,0.1195,0.0382,0.0158,0.015,0.0443,3276.2271,710.3663,3347.9487,3459.9634,0.1616,-0.3997,0.8961,-16.7181,-10.976,20.4939,1,1,4,1,1,27.0,64.0,
2026-07-22 18:13:16.485,0.372,0.5713,0.383,0.3957,0.3762,0.2762,0.3454,0.3511,0.124,0.0731,0.1458,0.103,0.0958,0.0685,0.1082,0.1141,0.0321,0.0109,0.0175,0.0362,3372.5275,2459.4872,3297.9853,3386.2271,-0.1138,-0.4408,0.9029,-9.0843,-1.144,-2.2729,1,1,4,1,1,27.0,64.8,
2026-07-22 18:13:17.512,0.5212,0.6307,0.345,0.4542,0.3239,0.2485,0.3357,0.3476,0.0748,0.0642,0.1565,0.0873,0.0639,0.0503,0.1363,0.0908,0.0161,0.0063,0.0265,0.0201,3190.8059,1.6117,2641.6117,3030.4396,-0.1359,-0.3038,0.8479,56.7714,-2.8487,20.1649,1,4,4,1,2,27.0,64.8,
2026-07-22 18:13:18.513,0.5395,0.5545,0.4279,0.4582,0.2826,0.3058,0.2908,0.3186,0.1012,0.0838,0.1603,0.0925,0.0651,0.0495,0.1014,0.107,0.0115,0.0065,0.0197,0.0236,2834.6154,2570.696,3345.1282,3378.1685,-0.6661,-0.5941,0.8678,-28.4717,-41.5112,13.0994,1,4,4,2,1,27.0,64.1,
2026-07-22 18:13:19.556,0.3549,0.5389,0.6078,0.4274,0.5211,0.3143,0.212,0.3278,0.0635,0.09,0.0943,0.1,0.0524,0.0502,0.0747,0.1203,0.0082,0.0066,0.0112,0.0245,3092.4908,6601.2088,2906.7399,3390.6593,0.0798,-0.2343,0.9478,4.359,-2.3253,-28.6586,1,4,4,2,1,27.0,62.7,
2026-07-22 18:13:20.594,0.3716,0.5508,0.6315,0.4019,0.484,0.3069,0.2028,0.3306,0.0814,0.0873,0.0886,0.1145,0.0542,0.0485,0.0673,0.1296,0.0087,0.0064,0.0098,0.0233,3808.0952,1731.7949,4076.4469,3225.4579,0.1269,0.1339,1.0043,-5.7347,73.6017,96.2639,1,4,4,4,2,27.0,61.5,
